,Headlines,Category,Probability
35,"Lok Sabha Elections 2019 News: NEW DELHI: Protesting against AAP's allegation that he was behind the scurrilous pamphlet against its East Delhi candidate, Atishi Marlena, BJP candid..",politics,0.7911284969498052
36,"Check IPL 2019 Live Score, Scorecard and Ball by ball Commentary of IPL 2019, Eliminator between Delhi Capitals and Sunrisers Hyderabad on Times of India.",sports,0.8390724106882445
37,"As the 5th phase of polling for the 7-phase Lok Sabha elections came to an end on Monday, political parties now shift focus mainly to Delhi, Haryana, West Bengal and some constituencies of Uttar Pradesh. Stay with TOI for all the latest updates from the campa….",politics,0.5359493156363189
38,The row started with AAP's Atishi alleging rival Gautam Gambhir of circulating pamphlets with obscene remarks about her in East Delhi constituency. Gambhir challenged that if AAP and Delhi CM can give the proof he will withdraw his candidature and retire from….,politics,0.6419351165661666
39,"In 2015, when newbie Aam Aadmi Party bagged 67 of the 70 Delhi assembly seats, halting the seemingly unstoppable BJP juggernaut, many across the country were surprised at the sheer scale of the victory. Four years on, Arvind Kejriwal's party faces a stiff tes….",politics,0.5579291243276091
40,"Lok Sabha Elections 2019 News: As soon as the press conference was about to start, three policemen entered the AAP headquarters at ITO and told AAP functionaries to stop the event b.",politics,0.4859277796661234
41,"The brilliance of Rishabh Pant (49 off 21) in the middle overs and Prithvi Shaw (56 off 38) at the top of the batting order put Delhi just one win away from entering the final, after they beat SRH by two wickets in the Eliminator on Wednesday..",sports,0.7322371002609956
42,"Ashish Pandey, clad in a blue shirt and denims - synchronised with the colour of his party, BSP - looks unflappable when asked about the sobriquets 'Pistol Pandey' and 'Pink Panther' given to him last year following Delhi's Hyatt Hotel incident as he joins th….",sports,0.3894927759520134
43,"A day after being slapped during a road show in Delhi, chief minister Arvind Kejriwal claimed on Sunday that the incident was an attempt to eliminate him..",politics,0.6263736011081091
44,India News: NEW DELHI: Fearing liquidation proceedings as the insolvency resolution process for debt-ridden real estate giant Jaypee Infratech Ltd (JIL) could not..,politics,0.5509578910472223
45,News News: NEW DELHI: BJP on Monday said the controversial clip purportedly showing sacked BSF trooper Tej Bahadur Yadav whose nomination from Varanasi Lok Sabha..,politics,0.45698377877504315
46,"India News: NEW DELHI: BJP president on Thursday slammed Congress' overseas chief Sam Pitroda over his ""hua to hua"" remark for the 1984 anti-Sikh riots..",politics,0.9107971461534758
47,India Business News: NEW DELHI: India’s industrial output contracted in March — the first time in nearly two years — after being dragged down by a decline in key manufactu..,politics,0.5447970119392751
48,News News: NEW DELHI: Finance minister Arun Jaitley on Sunday wondered why Congress president Rahul Gandhi gets disturbed when integrity issues of his late fathe..,politics,0.7266654716183117
49,"India News: NEW DELHI: Former Prime Minister Manmohan Singh's criticism of Modi government over a ""lack of economic vision"" drew a sharp reaction from the BJP, wh..",politics,0.8764862525595387
